"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","United States of America","Strength","Strength","-","85.12"
"2","Hong Kong (China)","Strength","Strength","-","75.74"
"3","Canada","Strength","Strength","-","75.23"
"4","Singapore","Strength","","-","72.36"
"5","United Kingdom","Strength","Strength","-","71.98"
"6","Denmark","","Strength","-","68.32"
"7","Australia","","Strength","-","67.70"
"8","Switzerland","","","-","67.49"
"9","New Zealand","","","-","65.91"
"10","Japan","","","-","65.29"
"11","France","","Strength","-","65.02"
"12","Sweden","","","-","64.70"
"13","Israel","","","-","61.12"
"14","Korea, Republic of","","","-","60.42"
"15","Finland","","","-","59.76"
"16","Spain","","","-","59.44"
"17","Brunei Darussalam","","Strength","-","58.79"
"18","Norway","","","-","58.63"
"19","Germany","","","-","58.46"
"20","Netherlands","","","-","58.25"
"21","Cyprus","","","-","57.49"
"22","Malaysia","Strength","","-","57.15"
"23","South Africa","Strength","Strength","-","57.01"
"24","Latvia","","","-","55.80"
"25","China","","","-","55.62"
"26","Azerbaijan","Strength","Strength","-","55.44"
"27","Peru","Strength","Strength","-","55.18"
"28","Thailand","Strength","","-","55.14"
"29","Ireland","","","-","54.85"
"30","Cambodia","Strength","Strength","-","54.76"
"31","United Arab Emirates","","","-","54.43"
"32","Mongolia","Strength","","-","54.38"
"33","Viet Nam","Strength","","-","54.31"
"34","Rwanda","Strength","Strength","-","54.22"
"35","Estonia","","","-","53.87"
"36","India","Strength","","-","53.44"
"37","Austria","Weakness","","-","52.58"
"38","Albania","","Strength","-","52.30"
"39","Georgia","Strength","","-","52.18"
"40","Colombia","","","-","51.91"
"41","Saudi Arabia","","","-","51.69"
"42","Belgium","Weakness","","-","51.65"
"43","Tajikistan","Strength","Strength","-","51.39"
"44","Italy","","","-","50.95"
"45","Mauritius","","","-","50.90"
"46","Iceland","Weakness","","-","50.41"
"47","Portugal","","","-","50.27"
"48","Czech Republic","","","-","50.27"
"49","Greece","","","-","49.98"
"50","Lithuania","","","-","49.90"
"51","Kazakhstan","","","-","49.66"
"52","Slovakia","","","-","48.92"
"53","Paraguay","","Strength","-","48.81"
"54","Chile","","","-","48.46"
"55","Turkey","","","-","48.44"
"56","Russian Federation","","","-","48.13"
"57","Poland","","","-","48.06"
"58","Mexico","","","-","47.99"
"59","Indonesia","","","-","47.65"
"60","Moldova, Republic of","","","-","47.54"
"61","Kenya","","","-","47.51"
"62","Bulgaria","","","-","47.43"
"63","Kuwait","","","-","47.06"
"64","Nepal","Strength","Strength","-","46.48"
"65","Honduras","","","-","46.38"
"66","Croatia","","","-","46.19"
"67","Kyrgyzstan","","","-","46.10"
"68","Bahrain","","","-","46.08"
"69","TFYR Macedonia","","","-","45.18"
"70","Luxembourg","Weakness","","-","45.07"
"71","Ecuador","","","-","44.95"
"72","Oman","Weakness","","-","44.90"
"73","Dominican Republic","","","-","44.90"
"74","Panama","","","-","44.84"
"75","Bolivia, Plurinational State of","","","-","44.81"
"76","Lebanon","","","-","44.47"
"77","Qatar","Weakness","","-","44.32"
"78","Slovenia","Weakness","Weakness","-","43.94"
"79","Botswana","","","-","43.82"
"80","Trinidad and Tobago","Weakness","","-","43.81"
"81","Armenia","","","-","43.47"
"82","Brazil","","","-","43.39"
"83","Romania","","","-","43.39"
"84","Bangladesh","","","-","43.37"
"85","Bosnia and Herzegovina","","","-","42.96"
"86","Hungary","Weakness","","-","42.86"
"87","Montenegro","","","-","42.77"
"88","El Salvador","","","-","42.73"
"89","Ukraine","","","-","42.68"
"90","Malta","Weakness","Weakness","-","42.59"
"91","Belarus","","","-","42.48"
"92","Sri Lanka","","","-","42.41"
"93","Morocco","","","-","42.17"
"94","Zambia","","","-","41.89"
"95","Nigeria","","","-","41.74"
"96","Costa Rica","","","-","41.73"
"97","Zimbabwe","","","-","41.30"
"98","Tanzania, United Republic of","","","-","41.07"
"99","Guatemala","","","-","40.39"
"100","Philippines","","","-","39.54"
"101","Serbia","Weakness","Weakness","-","39.23"
"102","Madagascar","","","-","38.85"
"103","Uganda","","","-","38.83"
"104","Egypt","","","-","38.82"
"105","Namibia","Weakness","","-","38.64"
"106","Iran, Islamic Republic of","Weakness","","-","38.34"
"107","Pakistan","","","-","38.12"
"108","Argentina","Weakness","","-","37.79"
"109","Jamaica","Weakness","Weakness","-","37.63"
"110","Malawi","","","-","37.57"
"111","Tunisia","","Weakness","-","36.97"
"112","Jordan","Weakness","Weakness","-","36.21"
"113","Uruguay","Weakness","Weakness","-","35.13"
"114","Ghana","Weakness","","-","34.95"
"115","Burkina Faso","","","-","33.47"
"116","Mali","","","-","33.17"
"117","Senegal","","Weakness","-","32.89"
"118","Algeria","Weakness","","-","32.54"
"119","Cameroon","Weakness","Weakness","-","32.18"
"120","Yemen","Weakness","","-","31.56"
"121","Mozambique","","Weakness","-","31.53"
"122","Côte d'Ivoire","Weakness","Weakness","-","30.78"
"123","Guinea","","Weakness","-","30.03"
"124","Benin","","Weakness","-","29.00"
"125","Togo","Weakness","Weakness","-","27.47"
"126","Niger","Weakness","Weakness","-","26.87"
