"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Netherlands","Strength","Strength","-","65.09"
"2","Singapore","Strength","Strength","-","65.08"
"3","Israel","Strength","Strength","-","64.50"
"4","Switzerland","Strength","","-","62.64"
"5","Sweden","Strength","Strength","-","62.47"
"6","Finland","Strength","Strength","-","60.59"
"7","Luxembourg","","","-","57.74"
"8","United States of America","","","-","56.14"
"9","China","","","-","56.00"
"10","Ireland","","","-","54.61"
"11","Japan","","","-","53.76"
"12","United Kingdom","","","-","53.03"
"13","Germany","","","-","52.79"
"14","Denmark","","","-","52.45"
"15","Hong Kong (China)","","","-","51.97"
"16","Malta","","","-","51.86"
"17","Belgium","","","-","51.61"
"18","Austria","","","-","51.02"
"19","France","","","-","50.56"
"20","Korea, Republic of","","","-","50.16"
"21","Iceland","","","-","50.14"
"22","Norway","","","-","48.68"
"23","United Arab Emirates","","","-","47.93"
"24","Canada","","","-","47.55"
"25","Czech Republic","","","-","45.70"
"26","Cyprus","","","-","44.83"
"27","New Zealand","Weakness","","-","44.79"
"28","Australia","Weakness","","-","44.50"
"29","Slovenia","","","-","43.03"
"30","Estonia","Weakness","","-","41.46"
"31","Bulgaria","Strength","","-","41.30"
"32","Hungary","","","-","40.74"
"33","Russian Federation","Strength","","-","39.91"
"34","Italy","","","-","39.59"
"35","Lithuania","","","-","38.81"
"36","Latvia","","","-","38.61"
"37","Slovakia","","","-","38.54"
"38","Brazil","Strength","","-","38.26"
"39","Malaysia","Strength","","-","38.11"
"40","Spain","","","-","37.83"
"41","Poland","","","-","37.25"
"42","Peru","","","-","36.79"
"43","Portugal","","","-","36.46"
"44","Philippines","Strength","","-","35.35"
"45","Croatia","","","-","34.64"
"46","Ukraine","Strength","","-","34.48"
"47","South Africa","","","-","34.38"
"48","Chile","","","-","33.64"
"49","Kenya","Strength","","-","33.29"
"50","Brunei Darussalam","Weakness","","-","33.12"
"51","Guatemala","Strength","Strength","-","33.04"
"52","Saudi Arabia","Weakness","","-","33.02"
"53","Belarus","","","-","33.01"
"54","Costa Rica","","","-","32.71"
"55","Romania","","","-","32.58"
"56","Colombia","","","-","32.45"
"57","Rwanda","Strength","","-","32.21"
"58","Montenegro","","","-","31.59"
"59","Argentina","","","-","31.38"
"60","Jamaica","","","-","31.27"
"61","Cameroon","Strength","Strength","-","30.67"
"62","Thailand","","","-","30.53"
"63","Bosnia and Herzegovina","","","-","30.37"
"64","India","","","-","30.06"
"65","Greece","Weakness","","-","30.00"
"66","Viet Nam","","","-","29.98"
"67","Lebanon","","","-","29.72"
"68","Uganda","Strength","","-","29.59"
"69","Mexico","","","-","29.50"
"70","Serbia","","","-","29.22"
"71","Honduras","","","-","29.19"
"72","Turkey","","","-","28.67"
"73","Mali","","Strength","-","27.87"
"74","Mozambique","","","-","27.86"
"75","Guinea","","","-","27.83"
"76","Ghana","","","-","27.69"
"77","Trinidad and Tobago","Weakness","","-","27.53"
"78","Kazakhstan","","","-","27.45"
"79","Kyrgyzstan","","","-","27.26"
"80","Qatar","Weakness","","-","27.15"
"81","Sri Lanka","","","-","27.02"
"82","Mauritius","","","-","26.79"
"83","Bahrain","Weakness","","-","26.75"
"84","Malawi","","","-","26.60"
"85","Nepal","","","-","26.32"
"86","El Salvador","","","-","26.27"
"87","Paraguay","","","-","26.14"
"88","Armenia","","","-","26.07"
"89","Indonesia","","","-","25.94"
"90","Moldova, Republic of","","","-","25.93"
"91","Georgia","","","-","25.75"
"92","Cambodia","","","-","25.59"
"93","Botswana","","","-","25.37"
"94","Tanzania, United Republic of","","","-","25.25"
"95","Dominican Republic","","","-","24.94"
"96","Azerbaijan","","","-","24.82"
"97","Ecuador","","","-","24.75"
"98","Albania","","","-","24.36"
"99","TFYR Macedonia","","Weakness","-","24.19"
"100","Pakistan","","","-","23.99"
"101","Mongolia","","","-","23.91"
"102","Uruguay","Weakness","","-","23.79"
"103","Niger","","","-","23.55"
"104","Nigeria","","","-","23.53"
"105","Tajikistan","","","-","23.20"
"106","Namibia","Weakness","","-","22.96"
"107","Benin","","","-","22.20"
"108","Iran, Islamic Republic of","Weakness","","-","21.90"
"109","Tunisia","","Weakness","-","21.62"
"110","Oman","Weakness","","-","21.47"
"111","Kuwait","Weakness","Weakness","-","20.98"
"112","Madagascar","","","-","20.66"
"113","Panama","Weakness","","-","20.41"
"114","Algeria","Weakness","","-","20.00"
"115","Morocco","Weakness","Weakness","-","19.67"
"116","Zimbabwe","Weakness","","-","19.57"
"117","Egypt","Weakness","","-","19.52"
"118","Bolivia, Plurinational State of","Weakness","Weakness","-","19.44"
"119","Bangladesh","Weakness","","-","19.17"
"120","Côte d'Ivoire","Weakness","Weakness","-","18.96"
"121","Togo","Weakness","","-","18.84"
"122","Senegal","Weakness","Weakness","-","18.72"
"123","Jordan","Weakness","Weakness","-","18.67"
"124","Zambia","Weakness","Weakness","-","17.28"
"125","Burkina Faso","Weakness","Weakness","-","16.64"
"126","Yemen","Weakness","Weakness","-","15.72"
