"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Luxembourg","","Strength","-","73.74"
"2","Switzerland","","Strength","-","71.84"
"3","Iceland","","Strength","-","68.99"
"4","Netherlands","","Strength","-","62.30"
"5","Hong Kong (China)","","","-","62.20"
"6","Malta","","Strength","-","62.00"
"7","Norway","","Strength","-","59.69"
"8","Denmark","","Strength","-","58.77"
"9","United Kingdom","","","-","57.52"
"10","Estonia","","Strength","-","57.33"
"11","Canada","","","-","56.52"
"12","Sweden","","","-","55.60"
"13","New Zealand","","Strength","-","55.13"
"14","Germany","","","-","54.68"
"15","Finland","","","-","53.90"
"16","Cyprus","","Strength","-","53.70"
"17","Australia","","","-","53.08"
"18","Austria","","","-","49.54"
"19","United States of America","","","-","49.22"
"20","Belgium","","","-","49.22"
"21","France","","","-","49.00"
"22","Qatar","","","-","48.49"
"23","Israel","","","-","48.25"
"24","Saudi Arabia","","","-","48.24"
"25","Czech Republic","","","-","48.23"
"26","Ireland","","","-","47.88"
"27","Portugal","","","-","47.65"
"28","United Arab Emirates","","","-","47.57"
"29","Argentina","","Strength","-","47.46"
"30","Dominican Republic","","Strength","-","47.13"
"31","Mauritius","","Strength","-","47.08"
"32","Moldova, Republic of","","","-","47.07"
"33","Tunisia","","Strength","-","46.96"
"34","Latvia","","","-","46.65"
"35","Slovenia","","","-","46.42"
"36","Uruguay","","Strength","-","46.32"
"37","Hungary","","","-","45.82"
"38","Malaysia","","","-","45.57"
"39","Spain","","","-","45.13"
"40","Singapore","","","-","44.58"
"41","Peru","","Strength","-","43.50"
"42","Ecuador","","","-","43.28"
"43","Italy","","","-","43.03"
"44","Costa Rica","","","-","43.01"
"45","Panama","","","-","42.75"
"46","Guyana","","","-","42.69"
"47","Chile","","","-","42.59"
"48","Mexico","","","-","42.40"
"49","Bulgaria","","","-","42.38"
"50","Montenegro","","","-","41.69"
"51","Brunei Darussalam","","","-","41.68"
"52","Croatia","","","-","41.61"
"53","Armenia","","","-","41.28"
"54","Korea, Republic of","","","-","41.27"
"55","Lithuania","","","-","41.09"
"56","El Salvador","","","-","40.99"
"57","Indonesia","","","-","40.81"
"58","Jamaica","","Strength","-","40.44"
"59","Jordan","","","-","39.68"
"60","Colombia","","","-","39.20"
"61","Slovakia","","","-","39.06"
"62","Senegal","","","-","38.86"
"63","Japan","","","-","38.69"
"64","Mongolia","","","-","38.66"
"65","India","","","-","38.65"
"66","Viet Nam","","","-","38.07"
"67","Barbados","","","-","38.04"
"68","South Africa","","","-","37.78"
"69","Turkey","","","-","37.77"
"70","Uganda","","","-","37.60"
"71","Lebanon","","","-","37.42"
"72","Brazil","","","-","37.17"
"73","Kuwait","","","-","36.38"
"74","Nigeria","","","-","36.20"
"75","The Former Yugoslav Republic (FYR) of Macedonia","","","-","35.97"
"76","Thailand","","","-","35.96"
"77","Greece","","","-","35.94"
"78","Poland","","","-","35.88"
"79","Paraguay","","","-","35.86"
"80","Romania","","","-","35.35"
"81","Ukraine","","","-","35.33"
"82","Rwanda","","","-","35.29"
"83","Bolivia, Plurinational State of","","","-","35.02"
"84","Serbia","","","-","34.76"
"85","Belize","","","-","34.69"
"86","Guatemala","","","-","34.42"
"87","Sri Lanka","","","-","34.16"
"88","Cape Verde","","","-","33.63"
"89","Trinidad and Tobago","","","-","33.60"
"90","Guinea","","Strength","-","32.62"
"91","Philippines","","","-","32.47"
"92","Nicaragua","","","-","32.38"
"93","Zimbabwe","","","-","32.33"
"94","Azerbaijan","","","-","32.15"
"95","Georgia","","","-","32.03"
"96","China","","","-","31.89"
"97","Mali","","","-","31.40"
"98","Kenya","","","-","30.98"
"99","Cambodia","","","-","30.97"
"100","Gabon","","","-","30.89"
"101","Russian Federation","","","-","30.83"
"102","Belarus","","Weakness","-","30.44"
"103","Gambia","","","-","30.11"
"104","Cote dIvoire","","","-","30.07"
"105","Honduras","","","-","29.92"
"106","Nepal","","","-","29.73"
"107","Morocco","","","-","29.69"
"108","Bosnia and Herzegovina","","","-","29.61"
"109","Fiji","","","-","29.51"
"110","Cameroon","","","-","29.48"
"111","Bahrain","","","-","29.43"
"112","Benin","","","-","29.22"
"113","Venezuela, Bolivarian Republic of","","","-","29.21"
"114","Egypt","","","-","28.24"
"115","Namibia","","","-","28.05"
"116","Kazakhstan","","","-","27.85"
"117","Ethiopia","","","-","27.34"
"118","Burkina Faso","","","-","26.37"
"119","Oman","","","-","26.31"
"120","Pakistan","","","-","26.25"
"121","Albania","","","-","26.09"
"122","Ghana","","","-","25.60"
"123","Tanzania, United Republic of","","","-","25.55"
"124","Madagascar","","","-","24.59"
"125","Swaziland","","","-","24.55"
"126","Zambia","","","-","24.19"
"127","Iran, Islamic Republic of","","Weakness","-","23.48"
"128","Syrian Arab Republic","","","-","23.06"
"129","Malawi","","","-","23.05"
"130","Togo","","","-","21.42"
"131","Bangladesh","","","-","20.36"
"132","Tajikistan","","","-","20.20"
"133","Kyrgyzstan","","","-","20.03"
"134","Botswana","","Weakness","-","19.49"
"135","Niger","","","-","19.46"
"136","Lesotho","","","-","19.07"
"137","Angola","","","-","18.26"
"138","Yemen","","","-","17.57"
"139","Mozambique","","Weakness","-","14.92"
"140","Algeria","","Weakness","-","11.61"
"141","Uzbekistan","","Weakness","-","6.10"
"142","Sudan","","Weakness","-","3.69"
