"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Singapore","Strength","Strength","-","73.28"
"2","Korea, Republic of","Strength","Strength","-","65.32"
"3","Australia","Strength","Strength","-","65.16"
"4","Finland","Strength","Strength","-","64.19"
"5","Switzerland","","","-","63.96"
"6","Denmark","","Strength","-","63.02"
"7","Sweden","","","-","62.16"
"8","United Kingdom","","","-","61.33"
"9","Austria","","Strength","-","61.12"
"10","Germany","","","-","58.71"
"11","France","","Strength","-","56.84"
"12","Netherlands","","","-","56.49"
"13","Belgium","","Strength","-","55.73"
"14","Israel","","","-","55.30"
"15","New Zealand","","","-","54.30"
"16","Japan","","","-","54.28"
"17","Ireland","","","-","53.80"
"18","Canada","","","-","53.71"
"19","Norway","","","-","53.34"
"20","Greece","","Strength","-","53.18"
"21","United States of America","","","-","51.32"
"22","Russian Federation","Strength","Strength","-","48.43"
"23","China","Weakness","","-","47.80"
"24","Saudi Arabia","","Strength","-","47.68"
"25","Hong Kong (China)","Weakness","","-","47.48"
"26","Spain","","","-","47.47"
"27","Portugal","","","-","47.06"
"28","Slovenia","","","-","46.73"
"29","United Arab Emirates","","","-","46.49"
"30","Iceland","Weakness","","-","45.99"
"31","Malaysia","Strength","","-","45.25"
"32","Italy","","","-","44.91"
"33","Tunisia","Strength","Strength","-","43.23"
"34","Belarus","Strength","","-","41.85"
"35","Czech Republic","","","-","41.72"
"36","Estonia","Weakness","","-","41.50"
"37","Bosnia and Herzegovina","Strength","","-","41.35"
"38","Hungary","","","-","41.17"
"39","Oman","","Strength","-","40.30"
"40","Malta","","","-","38.83"
"41","Namibia","","","-","38.80"
"42","Luxembourg","Weakness","","-","38.65"
"43","Ukraine","Strength","","-","37.93"
"44","Poland","","","-","36.85"
"45","Iran, Islamic Republic of","","","-","36.74"
"46","Lithuania","","","-","36.19"
"47","Cyprus","","","-","36.05"
"48","Croatia","","","-","35.88"
"49","Turkey","","","-","35.76"
"50","Qatar","","","-","35.73"
"51","Argentina","","","-","35.53"
"52","Brazil","","","-","34.93"
"53","Latvia","Weakness","","-","34.40"
"54","Mexico","","","-","33.83"
"55","Montenegro","","","-","33.38"
"56","India","Strength","","-","32.80"
"57","Thailand","","","-","32.52"
"58","Serbia","","","-","32.20"
"59","Slovakia","Weakness","","-","31.94"
"60","Brunei Darussalam","Weakness","","-","31.30"
"61","Chile","Weakness","","-","31.24"
"62","Jordan","Strength","","-","30.97"
"63","Bulgaria","","","-","30.85"
"64","South Africa","","","-","30.48"
"65","Romania","","","-","30.40"
"66","Viet Nam","","","-","30.04"
"67","Georgia","","","-","30.01"
"68","Kyrgyzstan","","","-","29.93"
"69","Moldova, Republic of","","","-","29.84"
"70","Botswana","","","-","29.80"
"71","Kazakhstan","","","-","29.06"
"72","Uruguay","Weakness","","-","28.57"
"73","Costa Rica","","","-","28.03"
"74","Bahrain","Weakness","","-","27.62"
"75","Mauritius","","","-","27.58"
"76","TFYR Macedonia","","","-","27.25"
"77","Zimbabwe","Strength","","-","27.01"
"78","Colombia","","","-","26.72"
"79","Lebanon","","","-","26.62"
"80","Algeria","","","-","25.91"
"81","Kuwait","Weakness","","-","25.53"
"82","Bolivia, Plurinational State of","","","-","25.46"
"83","Senegal","Strength","","-","25.22"
"84","Morocco","","","-","25.13"
"85","Mongolia","","","-","24.75"
"86","Philippines","","","-","24.56"
"87","Tajikistan","","","-","24.33"
"88","Jamaica","","","-","23.13"
"89","Egypt","","","-","22.95"
"90","Paraguay","","","-","22.82"
"91","Benin","Strength","","-","22.40"
"92","Niger","","","-","21.54"
"93","Ecuador","Weakness","","-","21.38"
"94","Indonesia","","","-","21.32"
"95","Albania","Weakness","","-","21.30"
"96","Ghana","","","-","20.63"
"97","Trinidad and Tobago","Weakness","","-","20.48"
"98","Peru","Weakness","","-","19.97"
"99","Panama","Weakness","","-","19.93"
"100","Azerbaijan","Weakness","","-","18.42"
"101","Honduras","","","-","18.05"
"102","Cameroon","","","-","17.80"
"103","El Salvador","","","-","17.26"
"104","Mozambique","","","-","16.86"
"105","Dominican Republic","Weakness","","-","16.72"
"106","Burkina Faso","","","-","16.49"
"107","Rwanda","","","-","15.85"
"108","Madagascar","","","-","15.43"
"109","Togo","","","-","15.36"
"110","Armenia","","Weakness","-","15.22"
"111","Sri Lanka","","Weakness","-","15.02"
"112","Kenya","","Weakness","-","14.64"
"113","Uganda","","","-","14.54"
"114","Côte d'Ivoire","","","-","13.76"
"115","Yemen","","","-","13.73"
"116","Nigeria","","","-","12.86"
"117","Pakistan","","","-","12.23"
"118","Mali","","","-","11.84"
"119","Cambodia","Weakness","Weakness","-","11.51"
"120","Nepal","","Weakness","-","11.43"
"121","Malawi","","","-","11.31"
"122","Guatemala","Weakness","","-","10.74"
"123","Tanzania, United Republic of","Weakness","","-","10.52"
"124","Bangladesh","Weakness","Weakness","-","9.09"
"125","Guinea","Weakness","Weakness","-","7.26"
"126","Zambia","Weakness","Weakness","-","1.44"
