"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","","Strength","-","60.89"
"2","China","","Strength","-","59.02"
"3","Sweden","","Strength","-","58.83"
"4","United States of America","","","-","58.10"
"5","United Kingdom","","","-","56.42"
"6","Korea, Rep.","","","-","54.54"
"7","Israel","","Strength","-","54.29"
"8","Finland","","","-","54.24"
"9","Netherlands","","Strength","-","53.76"
"10","Ireland","","Strength","-","53.23"
"11","Germany","","","-","53.12"
"12","Japan","","","-","47.18"
"13","Singapore","","","-","46.68"
"14","Denmark","","","-","46.65"
"15","Czech Republic","","","-","46.36"
"16","Luxembourg","","","-","45.80"
"17","New Zealand","","","-","45.27"
"18","Malta","","","-","45.08"
"19","Belgium","","","-","44.56"
"20","France","","","-","44.21"
"21","Canada","","","-","43.67"
"22","Spain","","","-","43.07"
"23","Italy","","Strength","-","42.65"
"24","Hungary","","","-","41.90"
"25","Austria","","","-","41.11"
"26","Moldova, Rep.","","Strength","-","40.78"
"27","Slovenia","","","-","40.55"
"28","Norway","","","-","40.12"
"29","Estonia","","","-","39.13"
"30","Belarus","","","-","38.79"
"31","Australia","","","-","38.46"
"32","Ukraine","","","-","38.17"
"33","Barbados","","","-","38.00"
"34","Russian Federation","","","-","37.56"
"35","Latvia","","","-","36.77"
"36","Iceland","","","-","36.61"
"37","Romania","","Strength","-","36.59"
"38","Bulgaria","","","-","36.19"
"39","Malaysia","","","-","35.47"
"40","Croatia","","","-","34.92"
"41","Slovakia","","","-","34.65"
"42","Cyprus","","","-","34.57"
"43","Kuwait","","Strength","-","33.82"
"44","Serbia","","","-","33.81"
"45","Hong Kong (China)","","","-","33.31"
"46","Portugal","","","-","32.75"
"47","Thailand","","","-","32.45"
"48","Turkey","","","-","32.30"
"49","Viet Nam","","","-","32.22"
"50","India","","","-","32.20"
"51","Armenia","","","-","31.84"
"52","Niger","","","-","31.25"
"53","Poland","","","-","31.21"
"54","Ghana","","Strength","-","31.13"
"55","Greece","","","-","30.63"
"56","Lithuania","","","-","30.33"
"57","Costa Rica","","Strength","-","30.30"
"58","Georgia","","","-","29.98"
"59","Jordan","","","-","29.39"
"60","Gambia","","","-","29.37"
"61","Bosnia and Herzegovina","","","-","29.23"
"62","South Africa","","","-","29.14"
"63","Bahrain","","","-","28.40"
"64","The Former Yugoslav Republic (FYR) of Macedonia","","","-","28.25"
"65","Brazil","","","-","28.06"
"66","Chile","","","-","27.35"
"67","Cote dIvoire","","Weakness","-","27.24"
"68","Philippines","","","-","27.11"
"69","Mozambique","","Strength","-","26.90"
"70","Kenya","","","-","26.86"
"71","Mexico","","","-","26.86"
"72","Mauritius","","","-","26.62"
"73","Uzbekistan","","","-","26.57"
"74","Venezuela, Bolivarian Rep.","","","-","26.55"
"75","Sri Lanka","","","-","26.52"
"76","Cambodia","","","-","26.36"
"77","Saudi Arabia","","","-","25.73"
"78","Morocco","","","-","25.54"
"79","Panama","","Weakness","-","25.40"
"80","Egypt","","","-","25.37"
"81","Argentina","","","-","25.22"
"82","Kazakhstan","","","-","24.85"
"83","Angola","","Strength","-","24.78"
"84","Malawi","","Strength","-","24.74"
"85","Colombia","","","-","24.37"
"86","Zambia","","","-","24.34"
"87","Uganda","","","-","24.33"
"88","Tajikistan","","Strength","-","24.32"
"89","Mongolia","","","-","24.21"
"90","Uruguay","","","-","24.09"
"91","Senegal","","","-","24.07"
"92","Botswana","","","-","23.74"
"93","Indonesia","","","-","23.18"
"94","Burkina Faso","","","-","23.12"
"95","Dominican Republic","","Weakness","-","22.82"
"96","Lebanon","","Weakness","-","22.58"
"97","Seychelles","","","-","22.39"
"98","Guatemala","","","-","22.34"
"99","Bangladesh","","","-","22.17"
"100","Jamaica","","","-","21.93"
"101","Pakistan","","","-","21.90"
"102","Trinidad and Tobago","","","-","21.87"
"103","Cameroon","","","-","21.84"
"104","Bolivia, Plurinational St.","","","-","21.43"
"105","Oman","","","-","21.22"
"106","Tunisia","","","-","21.22"
"107","Kyrgyzstan","","","-","21.12"
"108","Nigeria","","","-","21.07"
"109","Montenegro","","","-","20.94"
"110","Qatar","","","-","20.40"
"111","Albania","","","-","20.25"
"112","Peru","","","-","20.22"
"113","Iran, Islamic Rep.","","","-","20.01"
"114","Algeria","","","-","19.50"
"115","Azerbaijan","","Weakness","-","19.10"
"116","Mali","","Strength","-","18.74"
"117","Guyana","","","-","18.62"
"118","Myanmar","","","-","17.70"
"119","Tanzania, United Rep.","","","-","17.53"
"120","Ethiopia","","","-","17.48"
"121","Paraguay","","","-","17.46"
"122","Zimbabwe","","","-","17.42"
"123","Fiji","","Weakness","-","16.80"
"124","Madagascar","","","-","16.71"
"125","Honduras","","","-","16.16"
"126","Rwanda","","Weakness","-","15.55"
"127","Benin","","","-","15.04"
"128","Cabo Verde","","Weakness","-","14.64"
"129","Lesotho","","","-","14.62"
"130","Ecuador","","","-","14.45"
"131","Swaziland","","Strength","-","14.38"
"132","United Arab Emirates","","Weakness","-","14.30"
"133","Yemen","","","-","13.72"
"134","El Salvador","","","-","13.64"
"135","Togo","","","-","13.36"
"136","Brunei Darussalam","","Weakness","-","12.82"
"137","Namibia","","Weakness","-","12.66"
"138","Guinea","","Strength","-","12.50"
"139","Burundi","","","-","12.30"
"140","Nicaragua","","Weakness","-","12.08"
"141","Nepal","","","-","11.23"
"142","Bhutan","","","-","2.76"
"143","Sudan","","Strength","-","2.36"
