"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","Strength","Strength","-","74.88"
"2","Netherlands","Strength","Strength","-","63.70"
"3","Sweden","Strength","Strength","-","60.09"
"4","Ireland","","Strength","-","56.59"
"5","China","","","-","56.54"
"6","United States of America","","","-","55.59"
"7","Israel","","","-","54.79"
"8","Finland","","","-","53.50"
"9","Korea, Republic of","","","-","53.28"
"10","Germany","","","-","52.24"
"11","Singapore","","","-","51.27"
"12","Japan","","","-","48.56"
"13","United Kingdom","","","-","48.21"
"14","Luxembourg","","","-","47.85"
"15","Denmark","","","-","46.93"
"16","Hungary","","Strength","-","45.28"
"17","Czech Republic","","","-","42.33"
"18","Cyprus","","","-","42.25"
"19","France","","","-","41.56"
"20","Belgium","","","-","40.24"
"21","Malta","","","-","39.96"
"22","Canada","Weakness","","-","39.49"
"23","Spain","","","-","38.86"
"24","Italy","","","-","37.66"
"25","Norway","Weakness","","-","37.57"
"26","Hong Kong (China)","Weakness","","-","36.70"
"27","Ukraine","Strength","","-","36.69"
"28","Bulgaria","Strength","","-","36.15"
"29","Estonia","Weakness","","-","35.90"
"30","Iceland","Weakness","","-","35.24"
"31","Slovakia","","","-","34.74"
"32","Austria","Weakness","","-","34.26"
"33","Malaysia","Strength","","-","33.47"
"34","Slovenia","","","-","32.91"
"35","Viet Nam","Strength","","-","32.35"
"36","Portugal","","","-","32.23"
"37","New Zealand","Weakness","","-","32.09"
"38","Australia","Weakness","","-","31.86"
"39","Moldova, Republic of","Strength","","-","31.74"
"40","Thailand","","","-","30.78"
"41","Iran, Islamic Republic of","","","-","30.77"
"42","Romania","","","-","30.36"
"43","India","Strength","","-","30.29"
"44","Poland","","","-","30.16"
"45","Kuwait","","Strength","-","30.16"
"46","Croatia","","","-","29.48"
"47","Russian Federation","","","-","28.93"
"48","Chile","","","-","27.16"
"49","Philippines","Strength","","-","26.93"
"50","Serbia","","","-","26.72"
"51","Latvia","","","-","25.93"
"52","Turkey","","","-","25.72"
"53","United Arab Emirates","","","-","25.66"
"54","Greece","","","-","25.30"
"55","South Africa","","","-","25.21"
"56","Costa Rica","","","-","25.11"
"57","Georgia","","","-","24.55"
"58","Lithuania","Weakness","","-","23.70"
"59","Qatar","Weakness","","-","23.65"
"60","Mexico","","","-","23.54"
"61","Uruguay","Weakness","","-","23.49"
"62","Armenia","","","-","23.48"
"63","Tunisia","","","-","23.39"
"64","Brazil","","","-","22.82"
"65","Belarus","","","-","21.72"
"66","Egypt","","","-","21.13"
"67","TFYR Macedonia","","","-","20.92"
"68","Colombia","","","-","20.86"
"69","Bahrain","Weakness","","-","20.77"
"70","Kenya","","","-","20.73"
"71","Mongolia","","","-","20.41"
"72","Pakistan","","","-","20.36"
"73","Saudi Arabia","Weakness","","-","20.24"
"74","Bosnia and Herzegovina","","","-","20.22"
"75","Tajikistan","","","-","20.07"
"76","Mali","Strength","Strength","-","20.00"
"77","Senegal","Strength","","-","19.94"
"78","Morocco","","","-","19.88"
"79","Kazakhstan","","","-","19.88"
"80","Cambodia","","","-","19.65"
"81","Sri Lanka","","","-","19.60"
"82","Kyrgyzstan","","","-","19.48"
"83","Zimbabwe","Strength","","-","19.31"
"84","Côte d'Ivoire","","","-","18.91"
"85","Jordan","","","-","18.60"
"86","Indonesia","","","-","17.94"
"87","Argentina","","","-","17.88"
"88","Peru","","","-","17.14"
"89","Azerbaijan","","","-","17.06"
"90","Cameroon","","","-","16.94"
"91","Jamaica","","","-","16.74"
"92","Dominican Republic","","","-","16.61"
"93","Madagascar","","","-","16.61"
"94","Bangladesh","","","-","16.49"
"95","Togo","","","-","16.43"
"96","Montenegro","","","-","16.28"
"97","Oman","Weakness","","-","16.28"
"98","Tanzania, United Republic of","","","-","16.18"
"99","Mozambique","","","-","16.12"
"100","Ghana","","","-","16.05"
"101","Burkina Faso","","","-","16.04"
"102","Niger","","","-","15.84"
"103","Bolivia, Plurinational State of","","","-","15.55"
"104","Botswana","","","-","15.24"
"105","Malawi","","","-","14.87"
"106","Ecuador","","","-","14.40"
"107","Lebanon","","","-","14.33"
"108","Trinidad and Tobago","Weakness","","-","13.84"
"109","Uganda","","","-","13.79"
"110","Albania","","Weakness","-","13.74"
"111","Algeria","","","-","13.42"
"112","Guatemala","","","-","13.40"
"113","Brunei Darussalam","Weakness","Weakness","-","13.25"
"114","Nepal","","","-","13.18"
"115","Mauritius","","Weakness","-","12.49"
"116","Zambia","Weakness","","-","12.28"
"117","Honduras","Weakness","Weakness","-","12.03"
"118","Panama","Weakness","","-","10.79"
"119","Nigeria","Weakness","","-","10.26"
"120","El Salvador","Weakness","Weakness","-","8.94"
"121","Paraguay","Weakness","Weakness","-","8.66"
"122","Benin","Weakness","Weakness","-","7.41"
"123","Namibia","Weakness","Weakness","-","6.97"
"124","Rwanda","Weakness","Weakness","-","6.61"
"125","Guinea","Weakness","Weakness","-","5.59"
"126","Yemen","Weakness","Weakness","-","5.56"
