"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Hong Kong (China)","","Strength","-","63.43"
"2","Sweden","","Strength","-","63.14"
"3","Norway","","Strength","-","60.74"
"4","Korea, Republic of","","Strength","-","60.68"
"5","United Kingdom","","Strength","-","59.45"
"6","Singapore","","","-","59.19"
"7","Finland","","","-","57.51"
"8","Switzerland","","","-","57.03"
"9","Japan","","","-","56.26"
"10","Netherlands","","","-","55.48"
"11","Estonia","","Strength","-","55.18"
"12","Spain","","Strength","-","54.60"
"13","Denmark","","","-","53.87"
"14","Germany","","","-","53.47"
"15","Canada","","","-","53.04"
"16","Australia","","","-","52.66"
"17","United States of America","","","-","52.54"
"18","France","","","-","52.42"
"19","Luxembourg","","","-","51.06"
"20","Italy","","Strength","-","51.00"
"21","Austria","","","-","50.25"
"22","United Arab Emirates","","","-","49.74"
"23","Israel","","","-","49.42"
"24","Czech Republic","","","-","48.99"
"25","Lithuania","","Strength","-","47.97"
"26","New Zealand","","","-","47.62"
"27","Iceland","","","-","47.20"
"28","Qatar","","","-","46.00"
"29","Slovenia","","","-","45.92"
"30","Hungary","","","-","44.09"
"31","Belgium","","","-","44.06"
"32","Croatia","","","-","43.32"
"33","Malaysia","","","-","43.08"
"34","Portugal","","","-","42.96"
"35","Romania","","","-","42.78"
"36","Colombia","","","-","42.19"
"37","Ireland","","","-","42.19"
"38","Slovakia","","","-","42.15"
"39","Latvia","","","-","41.57"
"40","Chile","","","-","40.97"
"41","Saudi Arabia","","","-","40.57"
"42","Malta","","","-","40.54"
"43","Bulgaria","","","-","39.96"
"44","China","","","-","39.84"
"45","Bahrain","","","-","39.81"
"46","Cyprus","","","-","38.48"
"47","Poland","","","-","37.99"
"48","Greece","","","-","37.41"
"49","Russian Federation","","","-","37.22"
"50","Serbia","","","-","37.18"
"51","Brazil","","","-","37.16"
"52","Kazakhstan","","","-","37.02"
"53","Uruguay","","","-","36.45"
"54","Mongolia","","","-","36.14"
"55","Brunei Darussalam","","","-","36.06"
"56","Oman","","","-","35.87"
"57","Mexico","","","-","35.46"
"58","Cape Verde","","Strength","-","35.45"
"59","Kuwait","","","-","35.35"
"60","Thailand","","","-","35.31"
"61","Costa Rica","","","-","35.16"
"62","Panama","","","-","35.11"
"63","Argentina","","","-","35.02"
"64","Peru","","","-","34.03"
"65","Montenegro","","","-","33.96"
"66","Egypt","","","-","33.71"
"67","The Former Yugoslav Republic (FYR) of Macedonia","","","-","33.24"
"68","Tunisia","","","-","32.06"
"69","Lebanon","","","-","31.97"
"70","Ecuador","","","-","31.80"
"71","Lesotho","","Strength","-","31.31"
"72","Georgia","","","-","31.20"
"73","Turkey","","","-","31.17"
"74","Belarus","","","-","31.13"
"75","Albania","","","-","31.09"
"76","El Salvador","","","-","30.74"
"77","Dominican Republic","","","-","30.49"
"78","Philippines","","","-","29.47"
"79","Iran, Islamic Republic of","","","-","29.44"
"80","Viet Nam","","","-","29.18"
"81","Moldova, Republic of","","","-","29.10"
"82","Indonesia","","","-","29.08"
"83","South Africa","","","-","28.47"
"84","Bosnia and Herzegovina","","","-","28.18"
"85","Sri Lanka","","","-","28.17"
"86","Venezuela, Bolivarian Republic of","","","-","28.15"
"87","Morocco","","","-","28.09"
"88","Botswana","","","-","27.68"
"89","India","","","-","27.49"
"90","Jordan","","","-","26.05"
"91","Ukraine","","","-","25.98"
"92","Namibia","","","-","25.86"
"93","Algeria","","","-","25.69"
"94","Paraguay","","","-","25.69"
"95","Gabon","","","-","25.59"
"96","Nicaragua","","","-","25.48"
"97","Armenia","","","-","25.47"
"98","Bolivia, Plurinational State of","","","-","25.24"
"99","Azerbaijan","","","-","25.05"
"100","Honduras","","","-","24.76"
"101","Mauritius","","","-","24.71"
"102","Guatemala","","","-","24.37"
"103","Jamaica","","","-","24.21"
"104","Senegal","","","-","24.12"
"105","Trinidad and Tobago","","","-","23.96"
"106","Tanzania, United Republic of","","","-","23.36"
"107","Kyrgyzstan","","","-","23.33"
"108","Syrian Arab Republic","","","-","22.95"
"109","Bangladesh","","","-","22.63"
"110","Benin","","","-","22.49"
"111","Uzbekistan","","","-","22.38"
"112","Gambia","","","-","22.20"
"113","Ethiopia","","","-","22.04"
"114","Rwanda","","","-","21.56"
"115","Tajikistan","","","-","21.50"
"116","Cambodia","","","-","20.46"
"117","Kenya","","","-","20.18"
"118","Niger","","","-","19.98"
"119","Togo","","","-","19.82"
"120","Pakistan","","","-","19.81"
"121","Cote dIvoire","","","-","19.79"
"122","Nepal","","","-","19.33"
"123","Ghana","","","-","18.93"
"124","Zambia","","","-","18.91"
"125","Mozambique","","","-","18.90"
"126","Cameroon","","","-","18.42"
"127","Sudan","","","-","18.33"
"128","Uganda","","","-","18.33"
"129","Angola","","","-","18.24"
"130","Belize","","","-","18.05"
"131","Barbados","","Weakness","-","18.04"
"132","Zimbabwe","","Weakness","-","17.90"
"133","Nigeria","","","-","17.59"
"134","Fiji","","Weakness","-","17.30"
"135","Yemen","","","-","16.92"
"136","Guinea","","","-","16.24"
"137","Madagascar","","","-","16.12"
"138","Guyana","","Weakness","-","14.81"
"139","Burkina Faso","","Weakness","-","13.48"
"140","Malawi","","","-","12.94"
"141","Mali","","Weakness","-","11.38"
"142","Swaziland","","Weakness","-","6.20"
