"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Denmark","","Strength","-","95.33"
"2","Finland","","Strength","-","95.31"
"3","New Zealand","","Strength","-","95.05"
"4","Norway","","Strength","-","93.36"
"5","Canada","","Strength","-","93.26"
"6","Netherlands","","Strength","-","92.76"
"7","Singapore","","","-","92.24"
"8","Ireland","","Strength","-","91.95"
"9","Hong Kong (China)","","","-","90.80"
"10","Sweden","","","-","89.92"
"11","Australia","","","-","89.37"
"12","Iceland","","","-","88.52"
"13","Austria","","","-","88.52"
"14","United Kingdom","","","-","88.44"
"15","Belgium","","","-","88.24"
"16","Switzerland","","","-","87.31"
"17","United States of America","","","-","86.05"
"18","Cyprus","","","-","84.09"
"19","Luxembourg","","","-","83.53"
"20","Japan","","","-","83.51"
"21","Germany","","","-","82.48"
"22","Barbados","","","-","79.27"
"23","Malta","","","-","79.04"
"24","France","","","-","78.99"
"25","Slovenia","","","-","78.39"
"26","Estonia","","","-","78.17"
"27","Slovakia","","","-","77.40"
"28","Spain","","","-","77.37"
"29","Latvia","","","-","77.20"
"30","Mauritius","","Strength","-","77.09"
"31","Czech Republic","","","-","76.08"
"32","Korea, Republic of","","","-","76.05"
"33","United Arab Emirates","","","-","75.56"
"34","Brunei Darussalam","","Strength","-","74.42"
"35","Poland","","","-","74.40"
"36","Qatar","","","-","73.78"
"37","Italy","","","-","73.63"
"38","Hungary","","","-","73.47"
"39","Portugal","","","-","72.89"
"40","Chile","","","-","72.22"
"41","Oman","","","-","71.55"
"42","Botswana","","Strength","-","71.50"
"43","Lithuania","","","-","71.44"
"44","South Africa","","","-","70.09"
"45","Uruguay","","","-","69.97"
"46","Bahrain","","","-","69.91"
"47","Georgia","","","-","69.42"
"48","Croatia","","","-","69.11"
"49","Malaysia","","","-","68.98"
"50","Namibia","","","-","68.57"
"51","Bulgaria","","","-","67.99"
"52","Montenegro","","","-","67.88"
"53","Greece","","","-","67.76"
"54","Jamaica","","Strength","-","67.76"
"55","Romania","","","-","66.27"
"56","Israel","","","-","65.73"
"57","Armenia","","","-","65.69"
"58","The Former Yugoslav Republic (FYR) of Macedonia","","","-","65.42"
"59","Jordan","","","-","65.03"
"60","Costa Rica","","","-","64.33"
"61","Tunisia","","","-","63.43"
"62","Colombia","","","-","62.86"
"63","Mongolia","","","-","62.53"
"64","Kazakhstan","","","-","62.45"
"65","Belize","","","-","62.20"
"66","Mexico","","","-","61.79"
"67","Peru","","","-","61.50"
"68","Kuwait","","","-","61.39"
"69","Trinidad and Tobago","","","-","61.26"
"70","Lesotho","","Strength","-","61.22"
"71","Serbia","","","-","61.19"
"72","Rwanda","","","-","59.38"
"73","Albania","","","-","58.86"
"74","Panama","","","-","58.83"
"75","Fiji","","","-","58.64"
"76","Cape Verde","","","-","58.44"
"77","Saudi Arabia","","","-","58.43"
"78","El Salvador","","","-","57.93"
"79","Lebanon","","","-","57.87"
"80","Tanzania, United Republic of","","","-","57.80"
"81","Morocco","","","-","57.70"
"82","Bosnia and Herzegovina","","","-","57.20"
"83","Burkina Faso","","Strength","-","57.14"
"84","Moldova, Republic of","","","-","57.08"
"85","Uganda","","","-","56.95"
"86","Guyana","","","-","56.07"
"87","Russian Federation","","","-","56.04"
"88","Malawi","","","-","55.95"
"89","Turkey","","","-","55.83"
"90","Madagascar","","","-","55.27"
"91","Senegal","","","-","54.68"
"92","Swaziland","","","-","54.44"
"93","Thailand","","","-","54.06"
"94","Gabon","","","-","53.83"
"95","Brazil","","","-","53.79"
"96","Benin","","","-","53.31"
"97","Nicaragua","","","-","52.99"
"98","Dominican Republic","","","-","52.82"
"99","Azerbaijan","","","-","52.69"
"100","Ghana","","","-","52.49"
"101","Mali","","","-","51.93"
"102","India","","","-","51.91"
"103","Kenya","","","-","51.54"
"104","Niger","","","-","51.47"
"105","Ukraine","","","-","51.39"
"106","Argentina","","","-","50.68"
"107","Belarus","","Weakness","-","50.40"
"108","Mozambique","","","-","49.71"
"109","Kyrgyzstan","","","-","49.07"
"110","Guatemala","","","-","49.01"
"111","Zambia","","","-","48.82"
"112","Togo","","","-","48.50"
"113","China","","","-","48.33"
"114","Syrian Arab Republic","","","-","48.25"
"115","Paraguay","","","-","48.13"
"116","Cambodia","","","-","47.96"
"117","Honduras","","","-","47.33"
"118","Algeria","","","-","47.14"
"119","Cameroon","","","-","46.91"
"120","Tajikistan","","","-","46.83"
"121","Ethiopia","","","-","46.63"
"122","Viet Nam","","Weakness","-","46.57"
"123","Cote dIvoire","","","-","46.14"
"124","Gambia","","","-","46.13"
"125","Nepal","","","-","45.85"
"126","Uzbekistan","","","-","45.38"
"127","Bangladesh","","","-","45.31"
"128","Philippines","","Weakness","-","44.85"
"129","Nigeria","","","-","44.25"
"130","Egypt","","Weakness","-","43.92"
"131","Ecuador","","Weakness","-","43.30"
"132","Iran, Islamic Republic of","","Weakness","-","42.79"
"133","Guinea","","","-","42.57"
"134","Sri Lanka","","Weakness","-","42.44"
"135","Pakistan","","","-","40.24"
"136","Angola","","","-","40.00"
"137","Yemen","","","-","37.27"
"138","Indonesia","","Weakness","-","37.24"
"139","Sudan","","","-","36.17"
"140","Bolivia, Plurinational State of","","Weakness","-","32.98"
"141","Zimbabwe","","Weakness","-","24.15"
"142","Venezuela, Bolivarian Republic of","","Weakness","-","20.65"
