"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Hong Kong (China)","","Strength","-","88.58"
"2","United States of America","","Strength","-","87.09"
"3","United Kingdom","","Strength","-","84.60"
"4","Canada","","Strength","-","78.78"
"5","Singapore","","","-","77.60"
"6","Switzerland","","","-","77.47"
"7","Denmark","","Strength","-","74.60"
"8","Ireland","","Strength","-","73.22"
"9","Australia","","Strength","-","72.67"
"10","Spain","","Strength","-","72.15"
"11","Sweden","","","-","71.82"
"12","New Zealand","","Strength","-","70.74"
"13","Israel","","","-","69.78"
"14","Japan","","","-","69.70"
"15","Netherlands","","","-","69.18"
"16","South Africa","","Strength","-","65.98"
"17","Korea, Republic of","","","-","65.73"
"18","Cyprus","","","-","65.33"
"19","Finland","","","-","63.19"
"20","France","","","-","63.08"
"21","Germany","","","-","62.76"
"22","Norway","","","-","62.50"
"23","Malaysia","","","-","60.97"
"24","Austria","","","-","60.07"
"25","Portugal","","","-","59.05"
"26","Mongolia","","","-","58.00"
"27","Belgium","","","-","57.94"
"28","Latvia","","","-","57.60"
"29","Montenegro","","","-","57.27"
"30","Mauritius","","Strength","-","57.05"
"31","Luxembourg","","","-","56.89"
"32","Albania","","Strength","-","56.79"
"33","Italy","","","-","54.67"
"34","Georgia","","","-","54.52"
"35","China","","","-","54.22"
"36","Iceland","","","-","53.90"
"37","Thailand","","","-","53.48"
"38","Saudi Arabia","","","-","53.47"
"39","Peru","","Strength","-","52.86"
"40","Chile","","","-","52.53"
"41","The Former Yugoslav Republic (FYR) of Macedonia","","","-","51.37"
"42","Estonia","","","-","51.05"
"43","Slovenia","","","-","50.89"
"44","Kenya","","","-","50.73"
"45","Lithuania","","","-","50.69"
"46","Poland","","","-","50.51"
"47","Belarus","","","-","50.39"
"48","Armenia","","","-","50.02"
"49","India","","","-","49.50"
"50","Kyrgyzstan","","","-","49.43"
"51","Guatemala","","","-","49.20"
"52","Slovakia","","","-","49.11"
"53","Czech Republic","","","-","48.94"
"54","Greece","","","-","48.78"
"55","Azerbaijan","","","-","48.39"
"56","Tajikistan","","Strength","-","48.30"
"57","Lebanon","","","-","48.08"
"58","Bosnia and Herzegovina","","","-","48.07"
"59","Bahrain","","","-","47.60"
"60","Turkey","","","-","47.49"
"61","Malta","","","-","47.48"
"62","Qatar","","","-","47.42"
"63","United Arab Emirates","","","-","47.29"
"64","Croatia","","","-","46.53"
"65","Jordan","","","-","46.47"
"66","Rwanda","","","-","46.37"
"67","Bolivia, Plurinational State of","","","-","46.29"
"68","Zambia","","","-","46.09"
"69","Barbados","","","-","46.05"
"70","Colombia","","","-","45.79"
"71","Nicaragua","","","-","45.73"
"72","Mexico","","","-","45.56"
"73","Viet Nam","","","-","45.49"
"74","Russian Federation","","","-","45.42"
"75","Kuwait","","","-","45.41"
"76","Brazil","","","-","44.90"
"77","Paraguay","","","-","44.66"
"78","Honduras","","","-","44.37"
"79","Moldova, Republic of","","","-","44.21"
"80","Botswana","","","-","44.16"
"81","Oman","","","-","44.12"
"82","Ukraine","","","-","44.04"
"83","Bulgaria","","","-","43.91"
"84","Brunei Darussalam","","","-","43.85"
"85","Romania","","","-","43.70"
"86","Togo","","Strength","-","43.70"
"87","Hungary","","","-","43.35"
"88","Uganda","","","-","43.32"
"89","Kazakhstan","","","-","42.95"
"90","Dominican Republic","","","-","42.88"
"91","Trinidad and Tobago","","","-","42.52"
"92","Namibia","","","-","42.38"
"93","Cambodia","","","-","42.04"
"94","Costa Rica","","","-","41.91"
"95","Philippines","","","-","41.71"
"96","Morocco","","","-","41.48"
"97","Serbia","","","-","41.44"
"98","El Salvador","","","-","41.29"
"99","Indonesia","","","-","41.17"
"100","Mozambique","","","-","41.15"
"101","Ecuador","","","-","41.10"
"102","Zimbabwe","","","-","40.85"
"103","Sri Lanka","","","-","40.60"
"104","Ghana","","","-","40.35"
"105","Cape Verde","","","-","40.10"
"106","Fiji","","","-","40.09"
"107","Belize","","","-","39.90"
"108","Uzbekistan","","","-","39.77"
"109","Panama","","","-","39.59"
"110","Ethiopia","","","-","39.34"
"111","Jamaica","","","-","38.94"
"112","Nigeria","","","-","38.89"
"113","Tanzania, United Republic of","","","-","38.52"
"114","Algeria","","","-","38.43"
"115","Tunisia","","Weakness","-","38.25"
"116","Guyana","","","-","37.80"
"117","Syrian Arab Republic","","","-","37.65"
"118","Lesotho","","","-","37.58"
"119","Uruguay","","Weakness","-","37.40"
"120","Argentina","","Weakness","-","37.32"
"121","Angola","","","-","36.95"
"122","Madagascar","","","-","36.61"
"123","Nepal","","","-","35.89"
"124","Malawi","","","-","35.86"
"125","Egypt","","Weakness","-","35.80"
"126","Bangladesh","","","-","35.57"
"127","Senegal","","","-","35.55"
"128","Niger","","","-","34.56"
"129","Burkina Faso","","","-","34.37"
"130","Yemen","","","-","34.28"
"131","Cameroon","","","-","34.12"
"132","Cote dIvoire","","","-","33.39"
"133","Iran, Islamic Republic of","","Weakness","-","31.61"
"134","Mali","","","-","31.43"
"135","Swaziland","","","-","30.19"
"136","Gabon","","Weakness","-","30.14"
"137","Sudan","","","-","29.74"
"138","Pakistan","","Weakness","-","29.57"
"139","Gambia","","Weakness","-","28.67"
"140","Benin","","Weakness","-","27.96"
"141","Guinea","","Weakness","-","27.61"
"142","Venezuela, Bolivarian Republic of","","Weakness","-","25.93"
