"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Iceland","","Strength","-","66.05"
"2","Switzerland","","Strength","-","65.33"
"3","Luxembourg","","Strength","-","64.09"
"4","Netherlands","","Strength","-","61.70"
"5","Norway","","Strength","-","57.52"
"6","Hong Kong (China)","","","-","56.84"
"7","United Kingdom","","","-","56.62"
"8","Malta","","Strength","-","55.54"
"9","Sweden","","","-","55.43"
"10","Finland","","","-","53.41"
"11","Estonia","","Strength","-","53.41"
"12","Australia","","","-","52.46"
"13","Denmark","","Strength","-","52.39"
"14","Germany","","","-","50.35"
"15","Austria","","","-","49.87"
"16","Canada","","","-","48.30"
"17","New Zealand","","Strength","-","47.87"
"18","Czech Republic","","","-","47.33"
"19","Ireland","","","-","46.85"
"20","United States of America","","","-","46.45"
"21","United Arab Emirates","","","-","46.24"
"22","Belgium","","","-","45.74"
"23","France","","","-","45.48"
"24","Cyprus","","Strength","-","45.26"
"25","Bhutan","","","-","45.02"
"26","Saudi Arabia","","","-","45.01"
"27","Panama","","","-","44.99"
"28","Portugal","","","-","44.65"
"29","Latvia","","","-","44.05"
"30","Israel","","","-","43.94"
"31","Mauritius","","Strength","-","43.36"
"32","Moldova, Rep.","","","-","43.34"
"33","Singapore","","","-","43.07"
"34","Seychelles","","","-","42.96"
"35","Hungary","","","-","42.46"
"36","Slovenia","","","-","42.21"
"37","Korea, Rep.","","","-","42.21"
"38","Spain","","","-","42.13"
"39","Malaysia","","","-","42.02"
"40","Turkey","","","-","41.17"
"41","Qatar","","","-","40.09"
"42","Slovakia","","","-","39.40"
"43","Indonesia","","","-","39.22"
"44","Chile","","","-","38.33"
"45","Bulgaria","","","-","38.07"
"46","Japan","","","-","38.05"
"47","Croatia","","","-","37.88"
"48","Italy","","","-","37.53"
"49","Argentina","","Strength","-","36.92"
"50","Paraguay","","","-","36.90"
"51","Poland","","","-","36.74"
"52","Guyana","","","-","36.72"
"53","Dominican Republic","","Strength","-","36.45"
"54","Mongolia","","","-","36.35"
"55","Costa Rica","","","-","36.33"
"56","Lithuania","","","-","36.21"
"57","Montenegro","","","-","35.88"
"58","Viet Nam","","","-","35.83"
"59","China","","","-","35.67"
"60","Thailand","","","-","35.18"
"61","Jordan","","","-","34.87"
"62","Uruguay","","Strength","-","34.44"
"63","Armenia","","","-","33.62"
"64","Brazil","","","-","33.61"
"65","Greece","","","-","33.27"
"66","Peru","","Strength","-","33.07"
"67","Romania","","","-","33.00"
"68","Mexico","","","-","32.86"
"69","Nigeria","","","-","32.84"
"70","South Africa","","","-","32.66"
"71","The Former Yugoslav Republic (FYR) of Macedonia","","","-","32.59"
"72","Russian Federation","","","-","31.44"
"73","Kenya","","","-","31.16"
"74","Tunisia","","Strength","-","31.06"
"75","Senegal","","","-","31.04"
"76","Colombia","","","-","30.74"
"77","Ukraine","","","-","30.56"
"78","El Salvador","","","-","29.83"
"79","Serbia","","","-","29.65"
"80","Jamaica","","Strength","-","29.38"
"81","Mali","","","-","28.67"
"82","India","","","-","28.64"
"83","Oman","","","-","28.62"
"84","Belarus","","Weakness","-","28.57"
"85","Barbados","","","-","28.48"
"86","Ecuador","","","-","28.11"
"87","Kuwait","","","-","28.06"
"88","Cabo Verde","","","-","27.91"
"89","Namibia","","","-","27.89"
"90","Uganda","","","-","27.59"
"91","Sri Lanka","","","-","27.56"
"92","Morocco","","","-","27.44"
"93","Lebanon","","","-","27.38"
"94","Guatemala","","","-","27.29"
"95","Trinidad and Tobago","","","-","27.10"
"96","Cameroon","","","-","27.07"
"97","Egypt","","","-","26.65"
"98","Philippines","","","-","26.50"
"99","Georgia","","","-","25.93"
"100","Bahrain","","","-","25.76"
"101","Zimbabwe","","","-","25.48"
"102","Brunei Darussalam","","","-","25.26"
"103","Cote dIvoire","","","-","24.84"
"104","Azerbaijan","","","-","24.58"
"105","Bolivia, Plurinational St.","","","-","24.14"
"106","Kazakhstan","","","-","23.95"
"107","Burkina Faso","","","-","23.86"
"108","Venezuela, Bolivarian Rep.","","","-","23.43"
"109","Nicaragua","","","-","23.36"
"110","Pakistan","","","-","23.24"
"111","Ethiopia","","","-","23.23"
"112","Ghana","","","-","22.94"
"113","Cambodia","","","-","22.57"
"114","Swaziland","","","-","22.52"
"115","Madagascar","","","-","22.46"
"116","Bosnia and Herzegovina","","","-","21.79"
"117","Rwanda","","","-","21.31"
"118","Zambia","","","-","21.24"
"119","Benin","","","-","21.23"
"120","Honduras","","","-","21.08"
"121","Gambia","","","-","20.93"
"122","Tanzania, United Rep.","","","-","20.90"
"123","Albania","","","-","20.61"
"124","Nepal","","","-","20.26"
"125","Malawi","","","-","19.76"
"126","Guinea","","Strength","-","18.20"
"127","Angola","","","-","18.09"
"128","Iran, Islamic Rep.","","Weakness","-","18.07"
"129","Botswana","","Weakness","-","17.35"
"130","Bangladesh","","","-","17.23"
"131","Lesotho","","","-","16.29"
"132","Burundi","","","-","16.17"
"133","Yemen","","","-","15.68"
"134","Myanmar","","","-","14.80"
"135","Fiji","","","-","14.32"
"136","Mozambique","","Weakness","-","14.32"
"137","Kyrgyzstan","","","-","14.05"
"138","Algeria","","Weakness","-","13.98"
"139","Uzbekistan","","Weakness","-","11.70"
"140","Tajikistan","","","-","4.97"
"141","Sudan","","Weakness","-","1.87"
"142","Niger","","","-","1.14"
"143","Togo","","","-","0.61"
