"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Singapore","","Strength","-","69.16"
"2","United States of America","","Strength","-","59.24"
"3","Hong Kong (China)","","Strength","-","58.17"
"4","Switzerland","","","-","55.33"
"5","Israel","","Strength","-","54.64"
"6","Ireland","","Strength","-","53.83"
"7","Luxembourg","","","-","53.44"
"8","Belgium","","Strength","-","53.27"
"9","Netherlands","","","-","52.85"
"10","United Kingdom","","","-","52.32"
"11","Sweden","","","-","51.97"
"12","Fiji","","Strength","-","50.44"
"13","Malta","","","-","50.11"
"14","Finland","","","-","49.95"
"15","Barbados","","Strength","-","49.95"
"16","Canada","","","-","49.28"
"17","Guyana","","Strength","-","48.48"
"18","Australia","","","-","48.25"
"19","Denmark","","","-","47.53"
"20","Czech Republic","","","-","47.47"
"21","Japan","","","-","47.36"
"22","United Arab Emirates","","","-","47.33"
"23","Estonia","","","-","46.80"
"24","Iceland","","","-","46.74"
"25","France","","","-","46.09"
"26","Germany","","","-","45.90"
"27","Malaysia","","","-","45.89"
"28","New Zealand","","","-","45.55"
"29","Austria","","","-","45.22"
"30","Norway","","","-","45.19"
"31","Italy","","","-","44.14"
"32","Korea, Republic of","","","-","43.26"
"33","China","","","-","42.94"
"34","Slovenia","","","-","42.30"
"35","Latvia","","","-","41.99"
"36","Hungary","","","-","41.27"
"37","Bosnia and Herzegovina","","Strength","-","41.01"
"38","Panama","","Strength","-","40.58"
"39","Qatar","","","-","40.09"
"40","Poland","","","-","38.61"
"41","Lebanon","","","-","38.54"
"42","Brazil","","","-","38.03"
"43","Bahrain","","","-","37.48"
"44","Costa Rica","","","-","37.25"
"45","Spain","","","-","37.20"
"46","Saudi Arabia","","","-","37.19"
"47","Jordan","","","-","36.80"
"48","Croatia","","","-","36.69"
"49","Mozambique","","Strength","-","36.41"
"50","Chile","","","-","36.38"
"51","The Former Yugoslav Republic (FYR) of Macedonia","","","-","36.36"
"52","Russian Federation","","","-","36.10"
"53","Guatemala","","","-","35.27"
"54","Colombia","","","-","34.86"
"55","Argentina","","","-","34.20"
"56","Mongolia","","","-","33.98"
"57","Portugal","","","-","33.72"
"58","Venezuela, Bolivarian Republic of","","Strength","-","33.50"
"59","Slovakia","","","-","33.43"
"60","Thailand","","","-","33.37"
"61","Peru","","","-","33.36"
"62","Lithuania","","","-","33.00"
"63","Gambia","","Strength","-","32.95"
"64","Montenegro","","","-","32.41"
"65","Bulgaria","","","-","32.18"
"66","Cyprus","","","-","32.15"
"67","Viet Nam","","","-","31.98"
"68","Ghana","","","-","31.92"
"69","Kenya","","","-","31.90"
"70","Romania","","","-","31.79"
"71","South Africa","","","-","31.46"
"72","Bolivia, Plurinational State of","","","-","31.28"
"73","Serbia","","","-","31.20"
"74","Oman","","","-","31.07"
"75","Nicaragua","","","-","30.85"
"76","Zimbabwe","","","-","30.63"
"77","Uruguay","","","-","30.61"
"78","Namibia","","","-","30.28"
"79","Ukraine","","","-","30.23"
"80","Honduras","","","-","30.19"
"81","Greece","","","-","30.05"
"82","Botswana","","","-","30.00"
"83","Benin","","Strength","-","29.56"
"84","Armenia","","","-","29.33"
"85","Moldova, Republic of","","","-","29.31"
"86","Brunei Darussalam","","","-","29.10"
"87","El Salvador","","","-","29.10"
"88","Swaziland","","","-","28.92"
"89","Mexico","","","-","28.91"
"90","Kazakhstan","","","-","28.90"
"91","Burkina Faso","","","-","28.44"
"92","Dominican Republic","","","-","28.36"
"93","Belize","","","-","28.34"
"94","India","","","-","28.28"
"95","Georgia","","","-","28.02"
"96","Philippines","","","-","27.53"
"97","Nepal","","","-","27.42"
"98","Trinidad and Tobago","","","-","27.38"
"99","Egypt","","","-","27.37"
"100","Belarus","","Weakness","-","27.33"
"101","Mauritius","","","-","27.28"
"102","Cambodia","","","-","27.10"
"103","Malawi","","","-","26.98"
"104","Jamaica","","","-","26.98"
"105","Rwanda","","","-","26.96"
"106","Mali","","","-","26.20"
"107","Paraguay","","","-","26.01"
"108","Turkey","","Weakness","-","25.71"
"109","Guinea","","","-","25.49"
"110","Tunisia","","Weakness","-","25.17"
"111","Tanzania, United Republic of","","","-","25.00"
"112","Indonesia","","","-","24.96"
"113","Senegal","","","-","24.49"
"114","Kuwait","","","-","24.02"
"115","Kyrgyzstan","","","-","23.99"
"116","Cape Verde","","","-","23.88"
"117","Ecuador","","","-","23.80"
"118","Azerbaijan","","","-","23.73"
"119","Gabon","","","-","23.33"
"120","Iran, Islamic Republic of","","","-","23.16"
"121","Uganda","","","-","23.13"
"122","Uzbekistan","","","-","23.07"
"123","Ethiopia","","","-","22.25"
"124","Sri Lanka","","Weakness","-","22.05"
"125","Cameroon","","","-","21.96"
"126","Niger","","","-","21.63"
"127","Lesotho","","","-","21.55"
"128","Albania","","","-","21.41"
"129","Zambia","","","-","21.29"
"130","Syrian Arab Republic","","","-","21.19"
"131","Pakistan","","","-","21.13"
"132","Tajikistan","","","-","20.63"
"133","Cote dIvoire","","Weakness","-","20.23"
"134","Nigeria","","","-","19.31"
"135","Morocco","","Weakness","-","18.95"
"136","Togo","","","-","18.71"
"137","Madagascar","","","-","18.69"
"138","Bangladesh","","Weakness","-","17.83"
"139","Algeria","","Weakness","-","17.68"
"140","Sudan","","Weakness","-","12.40"
"141","Angola","","Weakness","-","11.82"
"142","Yemen","","Weakness","-","11.14"
