"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","","Strength","-","61.46"
"2","China","","Strength","-","56.35"
"3","Israel","","Strength","-","56.03"
"4","Ireland","","Strength","-","55.58"
"5","Sweden","","Strength","-","54.12"
"6","Netherlands","","Strength","-","53.89"
"7","United States of America","","","-","53.62"
"8","United Kingdom","","","-","51.07"
"9","Finland","","","-","50.81"
"10","Germany","","","-","49.08"
"11","Singapore","","","-","48.53"
"12","Korea, Republic of","","","-","47.78"
"13","Hungary","","","-","44.93"
"14","Malta","","","-","44.83"
"15","Kuwait","","Strength","-","44.74"
"16","Japan","","","-","44.59"
"17","Canada","","","-","44.37"
"18","France","","","-","44.28"
"19","Denmark","","","-","41.93"
"20","Belgium","","","-","41.75"
"21","Italy","","Strength","-","41.70"
"22","Costa Rica","","Strength","-","40.98"
"23","Romania","","Strength","-","40.34"
"24","Malaysia","","","-","38.69"
"25","Czech Republic","","","-","38.33"
"26","Moldova, Republic of","","Strength","-","38.10"
"27","Cyprus","","","-","37.45"
"28","Iceland","","","-","37.29"
"29","New Zealand","","","-","37.17"
"30","Austria","","","-","36.82"
"31","Spain","","","-","36.81"
"32","Tajikistan","","Strength","-","36.79"
"33","Swaziland","","Strength","-","36.50"
"34","Slovenia","","","-","36.41"
"35","Norway","","","-","36.08"
"36","Bulgaria","","","-","35.04"
"37","India","","","-","34.47"
"38","Hong Kong (China)","","","-","34.21"
"39","Croatia","","","-","33.94"
"40","Estonia","","","-","33.70"
"41","Serbia","","","-","33.64"
"42","Slovakia","","","-","33.28"
"43","Luxembourg","","","-","32.66"
"44","Latvia","","","-","32.09"
"45","Ukraine","","","-","31.98"
"46","Australia","","","-","30.91"
"47","Barbados","","","-","30.51"
"48","Russian Federation","","","-","30.42"
"49","Turkey","","","-","30.37"
"50","Bosnia and Herzegovina","","","-","30.27"
"51","Viet Nam","","","-","30.01"
"52","Mali","","Strength","-","29.77"
"53","Thailand","","","-","29.21"
"54","Belarus","","","-","29.09"
"55","Poland","","","-","28.96"
"56","Ghana","","Strength","-","28.92"
"57","Portugal","","","-","28.54"
"58","Armenia","","","-","28.28"
"59","The Former Yugoslav Republic (FYR) of Macedonia","","","-","27.75"
"60","Mozambique","","Strength","-","27.64"
"61","Philippines","","","-","27.60"
"62","Angola","","Strength","-","27.17"
"63","Georgia","","","-","26.96"
"64","Montenegro","","","-","26.83"
"65","Malawi","","Strength","-","26.63"
"66","Lithuania","","","-","26.59"
"67","Brazil","","","-","26.45"
"68","Sri Lanka","","","-","26.43"
"69","Uzbekistan","","","-","26.35"
"70","Chile","","","-","26.28"
"71","Zambia","","","-","26.19"
"72","Bahrain","","","-","26.05"
"73","Venezuela, Bolivarian Republic of","","","-","25.90"
"74","Argentina","","","-","25.65"
"75","Jordan","","","-","25.39"
"76","Colombia","","","-","25.31"
"77","Guyana","","","-","25.05"
"78","Saudi Arabia","","","-","24.81"
"79","South Africa","","","-","24.74"
"80","Bangladesh","","","-","24.54"
"81","Indonesia","","","-","24.33"
"82","Uruguay","","","-","23.58"
"83","Greece","","","-","23.50"
"84","Mexico","","","-","23.40"
"85","Uganda","","","-","23.30"
"86","Morocco","","","-","23.20"
"87","Trinidad and Tobago","","","-","23.10"
"88","Botswana","","","-","22.72"
"89","Sudan","","Strength","-","22.52"
"90","Kenya","","","-","21.92"
"91","Bolivia, Plurinational State of","","","-","21.91"
"92","Kazakhstan","","","-","21.62"
"93","Burkina Faso","","","-","21.30"
"94","Cambodia","","","-","21.30"
"95","Guatemala","","","-","20.95"
"96","Iran, Islamic Republic of","","","-","20.91"
"97","Senegal","","","-","20.67"
"98","Guinea","","Strength","-","20.62"
"99","Ecuador","","","-","20.38"
"100","Mauritius","","","-","20.36"
"101","Niger","","","-","20.31"
"102","Oman","","","-","20.14"
"103","Tunisia","","","-","20.07"
"104","Qatar","","","-","19.85"
"105","Pakistan","","","-","19.72"
"106","Gabon","","","-","19.28"
"107","Peru","","","-","19.28"
"108","Albania","","","-","19.22"
"109","Lebanon","","Weakness","-","19.05"
"110","Paraguay","","","-","18.83"
"111","Kyrgyzstan","","","-","18.73"
"112","Gambia","","","-","18.56"
"113","Egypt","","","-","18.05"
"114","Nigeria","","","-","17.67"
"115","Algeria","","","-","17.61"
"116","Jamaica","","","-","17.55"
"117","Cameroon","","","-","17.37"
"118","Tanzania, United Republic of","","","-","16.42"
"119","Mongolia","","","-","16.31"
"120","Dominican Republic","","Weakness","-","16.03"
"121","Honduras","","","-","15.90"
"122","Belize","","","-","15.78"
"123","Ethiopia","","","-","14.84"
"124","Lesotho","","","-","14.48"
"125","Brunei Darussalam","","Weakness","-","14.30"
"126","Azerbaijan","","Weakness","-","13.68"
"127","Nepal","","","-","13.45"
"128","Zimbabwe","","","-","13.33"
"129","El Salvador","","","-","13.03"
"130","Yemen","","","-","12.00"
"131","United Arab Emirates","","Weakness","-","11.95"
"132","Fiji","","Weakness","-","11.74"
"133","Togo","","","-","11.63"
"134","Benin","","","-","11.62"
"135","Cote dIvoire","","Weakness","-","9.65"
"136","Cape Verde","","Weakness","-","9.60"
"137","Madagascar","","","-","9.53"
"138","Nicaragua","","Weakness","-","9.07"
"139","Namibia","","Weakness","-","8.95"
"140","Rwanda","","Weakness","-","8.02"
"141","Syrian Arab Republic","","Weakness","-","6.20"
"142","Panama","","Weakness","-","5.30"
