"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","Strength","Strength","-","59.38"
"2","Luxembourg","Strength","Strength","-","57.89"
"3","Netherlands","Strength","Strength","-","56.67"
"4","United Kingdom","Strength","Strength","-","56.52"
"5","Estonia","Strength","Strength","-","54.88"
"6","Sweden","","","-","53.80"
"7","Germany","","","-","53.34"
"8","Iceland","","","-","53.28"
"9","Denmark","","","-","51.74"
"10","Malta","","","-","51.71"
"11","Finland","","","-","49.25"
"12","France","","","-","49.24"
"13","Hong Kong (China)","","","-","48.37"
"14","United States of America","","","-","48.03"
"15","Israel","","","-","46.87"
"16","Slovenia","","","-","46.73"
"17","Korea, Republic of","","","-","46.41"
"18","New Zealand","","","-","46.24"
"19","Ireland","","","-","45.91"
"20","Austria","","","-","45.79"
"21","China","","","-","45.42"
"22","Australia","","","-","44.75"
"23","Latvia","","","-","44.61"
"24","Norway","","","-","44.58"
"25","Czech Republic","","","-","44.13"
"26","Portugal","","","-","43.40"
"27","Belgium","Weakness","","-","42.69"
"28","Cyprus","","","-","42.34"
"29","Spain","","","-","41.55"
"30","Canada","Weakness","","-","41.08"
"31","Japan","Weakness","","-","40.43"
"32","Montenegro","Strength","","-","40.18"
"33","Lithuania","","","-","39.83"
"34","Mongolia","Strength","","-","39.72"
"35","Singapore","Weakness","","-","39.60"
"36","Bulgaria","Strength","","-","39.22"
"37","Moldova, Republic of","Strength","","-","39.08"
"38","Italy","","","-","38.89"
"39","Turkey","Strength","","-","38.66"
"40","Panama","Strength","","-","38.31"
"41","Slovakia","","","-","38.11"
"42","Poland","","","-","37.67"
"43","Croatia","Strength","","-","37.56"
"44","Hungary","","","-","36.61"
"45","Ukraine","Strength","","-","36.49"
"46","Viet Nam","Strength","","-","35.04"
"47","Malaysia","","","-","35.04"
"48","Armenia","Strength","","-","34.95"
"49","Costa Rica","","","-","32.79"
"50","Thailand","","","-","32.23"
"51","Greece","","","-","32.21"
"52","Paraguay","","Strength","-","31.52"
"53","United Arab Emirates","Weakness","","-","31.06"
"54","Tanzania, United Republic of","Strength","Strength","-","30.75"
"55","Uruguay","Weakness","","-","30.06"
"56","Kenya","","","-","29.87"
"57","Jordan","","","-","29.78"
"58","Chile","Weakness","","-","29.66"
"59","Iran, Islamic Republic of","","","-","29.55"
"60","Qatar","Weakness","","-","29.33"
"61","Romania","","","-","29.32"
"62","Mexico","","","-","29.16"
"63","Kuwait","Weakness","","-","28.55"
"64","Serbia","","","-","28.13"
"65","Oman","Weakness","","-","28.08"
"66","Tunisia","","","-","27.56"
"67","Jamaica","","","-","27.33"
"68","Mauritius","","","-","27.32"
"69","Dominican Republic","","","-","27.18"
"70","Morocco","","","-","27.12"
"71","Indonesia","","","-","27.00"
"72","Russian Federation","","","-","26.89"
"73","Georgia","","","-","26.76"
"74","Namibia","","","-","25.91"
"75","India","","","-","25.36"
"76","South Africa","","","-","24.57"
"77","Colombia","","","-","24.18"
"78","Brazil","","","-","24.15"
"79","Bahrain","Weakness","","-","24.04"
"80","Madagascar","Strength","","-","23.82"
"81","Peru","","","-","23.81"
"82","Argentina","","","-","23.63"
"83","Saudi Arabia","Weakness","","-","23.38"
"84","Guatemala","","","-","23.30"
"85","Lebanon","","","-","23.07"
"86","Albania","","","-","23.05"
"87","Azerbaijan","","","-","22.93"
"88","Sri Lanka","","","-","22.52"
"89","Egypt","","","-","22.12"
"90","Ecuador","","","-","21.81"
"91","El Salvador","","","-","21.39"
"92","Philippines","","","-","21.04"
"93","Cambodia","","","-","21.00"
"94","Bosnia and Herzegovina","","","-","20.98"
"95","Guinea","","","-","20.88"
"96","Honduras","","","-","19.96"
"97","Tajikistan","","","-","19.88"
"98","Senegal","","","-","19.79"
"99","Nigeria","","","-","19.52"
"100","Kazakhstan","Weakness","","-","18.68"
"101","Rwanda","","","-","18.57"
"102","Trinidad and Tobago","Weakness","","-","18.33"
"103","Cameroon","","","-","18.27"
"104","Pakistan","","","-","18.02"
"105","Brunei Darussalam","Weakness","Weakness","-","18.01"
"106","Uganda","","","-","17.58"
"107","TFYR Macedonia","Weakness","Weakness","-","17.26"
"108","Ghana","","","-","17.20"
"109","Nepal","","","-","16.87"
"110","Malawi","","","-","16.58"
"111","Botswana","Weakness","","-","16.45"
"112","Bangladesh","","","-","15.52"
"113","Zimbabwe","","","-","15.42"
"114","Mozambique","","","-","15.30"
"115","Kyrgyzstan","","","-","14.80"
"116","Algeria","Weakness","","-","14.71"
"117","Mali","","","-","14.46"
"118","Benin","","","-","13.87"
"119","Zambia","Weakness","","-","13.26"
"120","Bolivia, Plurinational State of","Weakness","Weakness","-","11.99"
"121","Yemen","Weakness","","-","10.25"
"122","Belarus","Weakness","Weakness","-","9.68"
"123","Niger","Weakness","","-","5.90"
"124","Côte d'Ivoire","Weakness","Weakness","-","3.73"
"125","Togo","Weakness","Weakness","-","3.49"
"126","Burkina Faso","Weakness","Weakness","-","0.56"
