"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Netherlands","","Strength","-","63.69"
"2","Singapore","","Strength","-","62.88"
"3","Switzerland","","Strength","-","62.61"
"4","Sweden","","Strength","-","62.58"
"5","Israel","","Strength","-","61.46"
"6","Finland","","","-","60.12"
"7","Luxembourg","","","-","57.80"
"8","United States of America","","","-","56.41"
"9","China","","","-","54.54"
"10","Ireland","","","-","54.51"
"11","Japan","","","-","54.49"
"12","Denmark","","","-","52.50"
"13","United Kingdom","","","-","52.18"
"14","Burkina Faso","","Strength","-","52.17"
"15","Germany","","","-","51.44"
"16","Hong Kong (China)","","","-","51.11"
"17","Korea, Republic of","","","-","51.09"
"18","France","","","-","50.59"
"19","Austria","","","-","50.29"
"20","Iceland","","","-","49.78"
"21","Malta","","","-","49.05"
"22","Belgium","","","-","48.46"
"23","Norway","","","-","48.26"
"24","Canada","","","-","47.85"
"25","United Arab Emirates","","","-","47.78"
"26","Czech Republic","","","-","45.86"
"27","Australia","","","-","45.37"
"28","New Zealand","","","-","43.98"
"29","Estonia","","","-","43.43"
"30","Slovenia","","","-","43.35"
"31","Cyprus","","","-","42.69"
"32","Bulgaria","","","-","41.43"
"33","Russian Federation","","","-","40.34"
"34","Brunei Darussalam","","","-","40.23"
"35","Italy","","","-","39.55"
"36","Burundi","","Strength","-","38.44"
"37","Spain","","","-","38.41"
"38","Slovakia","","","-","38.28"
"39","Latvia","","","-","38.17"
"40","Hungary","","","-","37.82"
"41","Lithuania","","","-","37.76"
"42","Poland","","","-","37.37"
"43","Brazil","","","-","37.22"
"44","Rwanda","","","-","36.95"
"45","Philippines","","","-","36.85"
"46","Chile","","","-","36.53"
"47","Guatemala","","Strength","-","36.23"
"48","Malaysia","","","-","35.69"
"49","Peru","","","-","35.66"
"50","Portugal","","","-","35.41"
"51","Ukraine","","","-","35.28"
"52","Costa Rica","","","-","35.16"
"53","Croatia","","","-","35.11"
"54","Saudi Arabia","","","-","34.99"
"55","India","","","-","34.57"
"56","TFYR Macedonia","","","-","34.49"
"57","South Africa","","","-","34.41"
"58","Montenegro","","","-","34.12"
"59","Argentina","","","-","33.63"
"60","Uganda","","","-","33.59"
"61","Lebanon","","","-","33.53"
"62","Kenya","","","-","33.17"
"63","Romania","","","-","33.01"
"64","Colombia","","","-","32.92"
"65","Belarus","","","-","32.18"
"66","Malawi","","","-","31.98"
"67","Dominican Republic","","","-","31.88"
"68","Thailand","","","-","31.81"
"69","Jamaica","","","-","31.29"
"70","Honduras","","","-","31.26"
"71","Mexico","","","-","30.77"
"72","Niger","","","-","30.63"
"73","Viet Nam","","","-","29.42"
"74","Mali","","","-","29.39"
"75","Turkey","","","-","29.33"
"76","Mongolia","","","-","29.27"
"77","Trinidad and Tobago","","","-","29.14"
"78","Pakistan","","","-","29.01"
"79","Serbia","","","-","28.91"
"80","Greece","","","-","28.76"
"81","Moldova, Republic of","","","-","28.68"
"82","El Salvador","","","-","28.21"
"83","Sri Lanka","","","-","28.04"
"84","Qatar","","","-","28.00"
"85","Armenia","","","-","27.72"
"86","Mauritius","","","-","27.70"
"87","Kazakhstan","","","-","27.62"
"88","Benin","","","-","27.53"
"89","Kyrgyzstan","","","-","27.51"
"90","Bosnia and Herzegovina","","","-","27.38"
"91","Botswana","","","-","27.12"
"92","Paraguay","","","-","26.88"
"93","Bahrain","","","-","26.78"
"94","Panama","","","-","26.42"
"95","Nepal","","","-","26.23"
"96","Indonesia","","","-","26.18"
"97","Tanzania, United Republic of","","","-","26.12"
"98","Bolivia, Plurinational State of","","","-","25.96"
"99","Bangladesh","","","-","25.64"
"100","Uruguay","","Weakness","-","25.63"
"101","Georgia","","","-","25.60"
"102","Albania","","","-","25.28"
"103","Ecuador","","","-","25.14"
"104","Jordan","","Weakness","-","24.66"
"105","Senegal","","","-","24.46"
"106","Mozambique","","","-","24.42"
"107","Tajikistan","","","-","24.23"
"108","Ethiopia","","","-","24.20"
"109","Cameroon","","","-","24.01"
"110","Azerbaijan","","Weakness","-","23.80"
"111","Cambodia","","","-","23.35"
"112","Tunisia","","Weakness","-","23.18"
"113","Namibia","","","-","23.15"
"114","Zimbabwe","","","-","22.84"
"115","Iran, Islamic Republic of","","","-","22.79"
"116","Madagascar","","","-","22.68"
"117","Togo","","","-","21.87"
"118","Nigeria","","","-","21.69"
"119","Algeria","","","-","21.04"
"120","Egypt","","Weakness","-","20.96"
"121","Cote dIvoire","","Weakness","-","20.87"
"122","Morocco","","Weakness","-","20.46"
"123","Yemen","","","-","19.53"
"124","Guinea","","","-","19.33"
"125","Zambia","","Weakness","-","18.31"
"126","Oman","","Weakness","-","17.00"
"127","Kuwait","","Weakness","-","15.25"
