"Rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Finland","","Strength","-","95.28"
"2","New Zealand","","Strength","-","94.32"
"3","Norway","","Strength","-","94.12"
"4","Denmark","","Strength","-","93.65"
"5","Netherlands","","Strength","-","93.29"
"6","Singapore","","","-","92.76"
"7","Canada","","Strength","-","92.72"
"8","Hong Kong (China)","","","-","91.42"
"9","Ireland","","Strength","-","90.37"
"10","Sweden","","","-","89.75"
"11","Australia","","","-","88.95"
"12","Austria","","","-","88.76"
"13","United Kingdom","","","-","88.59"
"14","Iceland","","","-","88.57"
"15","Belgium","","","-","87.86"
"16","Switzerland","","","-","87.64"
"17","United States of America","","","-","86.21"
"18","Japan","","","-","84.14"
"19","Cyprus","","","-","83.47"
"20","Luxembourg","","","-","82.95"
"21","Germany","","","-","82.74"
"22","Malta","","","-","79.22"
"23","Slovenia","","","-","78.73"
"24","Estonia","","","-","78.58"
"25","France","","","-","78.57"
"26","Barbados","","","-","78.48"
"27","Mauritius","","Strength","-","78.25"
"28","Portugal","","","-","77.27"
"29","Latvia","","","-","76.75"
"30","United Arab Emirates","","","-","76.64"
"31","Czech Republic","","","-","76.17"
"32","Korea, Rep.","","","-","75.76"
"33","Qatar","","","-","75.50"
"34","Spain","","","-","74.84"
"35","Poland","","","-","74.74"
"36","Slovakia","","","-","74.47"
"37","Brunei Darussalam","","Strength","-","73.42"
"38","Lithuania","","","-","73.40"
"39","Italy","","","-","73.21"
"40","Hungary","","","-","72.31"
"41","Chile","","","-","71.72"
"42","Botswana","","Strength","-","71.52"
"43","Oman","","","-","70.78"
"44","South Africa","","","-","69.93"
"45","Croatia","","","-","69.75"
"46","Georgia","","","-","69.74"
"47","Uruguay","","","-","68.67"
"48","Bulgaria","","","-","68.49"
"49","Namibia","","","-","68.25"
"50","Malaysia","","","-","68.22"
"51","Montenegro","","","-","68.11"
"52","Bahrain","","","-","67.93"
"53","Jamaica","","Strength","-","67.87"
"54","Israel","","","-","67.69"
"55","Seychelles","","","-","66.95"
"56","Costa Rica","","","-","66.72"
"57","Greece","","","-","66.60"
"58","Armenia","","","-","66.38"
"59","Romania","","","-","65.87"
"60","The Former Yugoslav Republic (FYR) of Macedonia","","","-","65.75"
"61","Jordan","","","-","64.34"
"62","Bhutan","","","-","62.58"
"63","Mongolia","","","-","62.48"
"64","Trinidad and Tobago","","","-","62.13"
"65","Tunisia","","","-","61.82"
"66","Mexico","","","-","61.77"
"67","Kazakhstan","","","-","61.14"
"68","Peru","","","-","61.09"
"69","Serbia","","","-","61.01"
"70","Rwanda","","","-","60.63"
"71","Colombia","","","-","60.43"
"72","Kuwait","","","-","60.24"
"73","Saudi Arabia","","","-","60.03"
"74","Lesotho","","Strength","-","59.79"
"75","Panama","","","-","59.66"
"76","Cabo Verde","","","-","59.65"
"77","Morocco","","","-","59.58"
"78","Bosnia and Herzegovina","","","-","59.46"
"79","Albania","","","-","58.84"
"80","Moldova, Rep.","","","-","58.37"
"81","Lebanon","","","-","58.13"
"82","Fiji","","","-","57.88"
"83","Guatemala","","","-","57.79"
"84","El Salvador","","","-","57.36"
"85","Tanzania, United Rep.","","","-","57.21"
"86","Uganda","","","-","56.74"
"87","Burkina Faso","","Strength","-","56.49"
"88","Russian Federation","","","-","56.40"
"89","Guyana","","","-","55.94"
"90","Swaziland","","","-","55.29"
"91","Madagascar","","","-","55.14"
"92","Turkey","","","-","54.93"
"93","Senegal","","","-","54.46"
"94","Thailand","","","-","54.38"
"95","Malawi","","","-","54.20"
"96","Brazil","","","-","53.91"
"97","Kenya","","","-","53.65"
"98","Nicaragua","","","-","53.44"
"99","Dominican Republic","","","-","53.35"
"100","Azerbaijan","","","-","53.35"
"101","Benin","","","-","53.35"
"102","Kyrgyzstan","","","-","52.95"
"103","Ukraine","","","-","52.90"
"104","Ghana","","","-","52.28"
"105","Belarus","","Weakness","-","52.05"
"106","India","","","-","50.83"
"107","Zambia","","","-","50.71"
"108","Philippines","","Weakness","-","49.60"
"109","Niger","","","-","49.59"
"110","Mozambique","","","-","49.25"
"111","Argentina","","","-","49.06"
"112","Cote dIvoire","","","-","48.79"
"113","Ethiopia","","","-","48.68"
"114","China","","","-","48.30"
"115","Togo","","","-","47.94"
"116","Paraguay","","","-","47.92"
"117","Mali","","","-","47.79"
"118","Algeria","","","-","47.19"
"119","Cameroon","","","-","46.81"
"120","Cambodia","","","-","46.65"
"121","Viet Nam","","Weakness","-","46.60"
"122","Tajikistan","","","-","46.16"
"123","Nepal","","","-","46.10"
"124","Uzbekistan","","","-","46.07"
"125","Honduras","","","-","46.06"
"126","Gambia","","","-","45.83"
"127","Burundi","","","-","45.55"
"128","Bangladesh","","","-","45.24"
"129","Nigeria","","","-","43.99"
"130","Ecuador","","Weakness","-","43.64"
"131","Iran, Islamic Rep.","","Weakness","-","43.01"
"132","Guinea","","","-","42.62"
"133","Egypt","","Weakness","-","42.08"
"134","Sri Lanka","","Weakness","-","40.88"
"135","Pakistan","","","-","40.07"
"136","Angola","","","-","39.13"
"137","Indonesia","","Weakness","-","38.10"
"138","Yemen","","","-","36.58"
"139","Sudan","","","-","36.44"
"140","Myanmar","","","-","35.28"
"141","Bolivia, Plurinational St.","","Weakness","-","32.74"
"142","Zimbabwe","","Weakness","-","26.69"
"143","Venezuela, Bolivarian Rep.","","Weakness","-","21.08"
